"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,003815
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001907
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,000954
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,000954
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
